areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-08-25,103
K02000001,United Kingdom,overview,2021-08-24,114
K02000001,United Kingdom,overview,2021-08-23,116
K02000001,United Kingdom,overview,2021-08-22,119
K02000001,United Kingdom,overview,2021-08-21,106
K02000001,United Kingdom,overview,2021-08-20,118
K02000001,United Kingdom,overview,2021-08-19,109
K02000001,United Kingdom,overview,2021-08-18,102
K02000001,United Kingdom,overview,2021-08-17,110
K02000001,United Kingdom,overview,2021-08-16,84
K02000001,United Kingdom,overview,2021-08-15,87
K02000001,United Kingdom,overview,2021-08-14,96
K02000001,United Kingdom,overview,2021-08-13,107
K02000001,United Kingdom,overview,2021-08-12,107
K02000001,United Kingdom,overview,2021-08-11,88
K02000001,United Kingdom,overview,2021-08-10,81
K02000001,United Kingdom,overview,2021-08-09,81
K02000001,United Kingdom,overview,2021-08-08,80
K02000001,United Kingdom,overview,2021-08-07,95
K02000001,United Kingdom,overview,2021-08-06,94
K02000001,United Kingdom,overview,2021-08-05,102
K02000001,United Kingdom,overview,2021-08-04,80
K02000001,United Kingdom,overview,2021-08-03,74
K02000001,United Kingdom,overview,2021-08-02,81
K02000001,United Kingdom,overview,2021-08-01,95
K02000001,United Kingdom,overview,2021-07-31,90
K02000001,United Kingdom,overview,2021-07-30,106
K02000001,United Kingdom,overview,2021-07-29,81
K02000001,United Kingdom,overview,2021-07-28,88
K02000001,United Kingdom,overview,2021-07-27,72
K02000001,United Kingdom,overview,2021-07-26,76
K02000001,United Kingdom,overview,2021-07-25,72
K02000001,United Kingdom,overview,2021-07-24,73
K02000001,United Kingdom,overview,2021-07-23,83
K02000001,United Kingdom,overview,2021-07-22,77
K02000001,United Kingdom,overview,2021-07-21,55
K02000001,United Kingdom,overview,2021-07-20,58
K02000001,United Kingdom,overview,2021-07-19,82
K02000001,United Kingdom,overview,2021-07-18,69
K02000001,United Kingdom,overview,2021-07-17,52
K02000001,United Kingdom,overview,2021-07-16,52
K02000001,United Kingdom,overview,2021-07-15,52
K02000001,United Kingdom,overview,2021-07-14,43
K02000001,United Kingdom,overview,2021-07-13,50
K02000001,United Kingdom,overview,2021-07-12,41
K02000001,United Kingdom,overview,2021-07-11,34
K02000001,United Kingdom,overview,2021-07-10,42
K02000001,United Kingdom,overview,2021-07-09,47
K02000001,United Kingdom,overview,2021-07-08,42
K02000001,United Kingdom,overview,2021-07-07,29
K02000001,United Kingdom,overview,2021-07-06,33
K02000001,United Kingdom,overview,2021-07-05,29
K02000001,United Kingdom,overview,2021-07-04,29
K02000001,United Kingdom,overview,2021-07-03,29
K02000001,United Kingdom,overview,2021-07-02,28
K02000001,United Kingdom,overview,2021-07-01,25
K02000001,United Kingdom,overview,2021-06-30,22
K02000001,United Kingdom,overview,2021-06-29,24
K02000001,United Kingdom,overview,2021-06-28,13
K02000001,United Kingdom,overview,2021-06-27,22
K02000001,United Kingdom,overview,2021-06-26,17
K02000001,United Kingdom,overview,2021-06-25,22
K02000001,United Kingdom,overview,2021-06-24,23
K02000001,United Kingdom,overview,2021-06-23,8
K02000001,United Kingdom,overview,2021-06-22,13
K02000001,United Kingdom,overview,2021-06-21,16
K02000001,United Kingdom,overview,2021-06-20,25
K02000001,United Kingdom,overview,2021-06-19,23
K02000001,United Kingdom,overview,2021-06-18,12
K02000001,United Kingdom,overview,2021-06-17,6
K02000001,United Kingdom,overview,2021-06-16,13
K02000001,United Kingdom,overview,2021-06-15,21
K02000001,United Kingdom,overview,2021-06-14,10
K02000001,United Kingdom,overview,2021-06-13,10
K02000001,United Kingdom,overview,2021-06-12,14
K02000001,United Kingdom,overview,2021-06-11,6
K02000001,United Kingdom,overview,2021-06-10,11
K02000001,United Kingdom,overview,2021-06-09,9
K02000001,United Kingdom,overview,2021-06-08,10
K02000001,United Kingdom,overview,2021-06-07,6
K02000001,United Kingdom,overview,2021-06-06,8
K02000001,United Kingdom,overview,2021-06-05,7
K02000001,United Kingdom,overview,2021-06-04,13
K02000001,United Kingdom,overview,2021-06-03,12
K02000001,United Kingdom,overview,2021-06-02,13
K02000001,United Kingdom,overview,2021-06-01,4
K02000001,United Kingdom,overview,2021-05-31,8
K02000001,United Kingdom,overview,2021-05-30,9
K02000001,United Kingdom,overview,2021-05-29,9
K02000001,United Kingdom,overview,2021-05-28,8
K02000001,United Kingdom,overview,2021-05-27,9
K02000001,United Kingdom,overview,2021-05-26,13
K02000001,United Kingdom,overview,2021-05-25,7
K02000001,United Kingdom,overview,2021-05-24,9
K02000001,United Kingdom,overview,2021-05-23,9
K02000001,United Kingdom,overview,2021-05-22,5
K02000001,United Kingdom,overview,2021-05-21,10
K02000001,United Kingdom,overview,2021-05-20,6
K02000001,United Kingdom,overview,2021-05-19,5
K02000001,United Kingdom,overview,2021-05-18,6
K02000001,United Kingdom,overview,2021-05-17,8
K02000001,United Kingdom,overview,2021-05-16,8
K02000001,United Kingdom,overview,2021-05-15,8
K02000001,United Kingdom,overview,2021-05-14,6
K02000001,United Kingdom,overview,2021-05-13,7
K02000001,United Kingdom,overview,2021-05-12,11
K02000001,United Kingdom,overview,2021-05-11,15
K02000001,United Kingdom,overview,2021-05-10,10
K02000001,United Kingdom,overview,2021-05-09,9
K02000001,United Kingdom,overview,2021-05-08,9
K02000001,United Kingdom,overview,2021-05-07,12
K02000001,United Kingdom,overview,2021-05-06,11
K02000001,United Kingdom,overview,2021-05-05,13
K02000001,United Kingdom,overview,2021-05-04,10
K02000001,United Kingdom,overview,2021-05-03,10
K02000001,United Kingdom,overview,2021-05-02,14
K02000001,United Kingdom,overview,2021-05-01,9
K02000001,United Kingdom,overview,2021-04-30,12
K02000001,United Kingdom,overview,2021-04-29,16
K02000001,United Kingdom,overview,2021-04-28,16
K02000001,United Kingdom,overview,2021-04-27,16
K02000001,United Kingdom,overview,2021-04-26,14
K02000001,United Kingdom,overview,2021-04-25,15
K02000001,United Kingdom,overview,2021-04-24,8
K02000001,United Kingdom,overview,2021-04-23,23
K02000001,United Kingdom,overview,2021-04-22,17
K02000001,United Kingdom,overview,2021-04-21,24
K02000001,United Kingdom,overview,2021-04-20,19
K02000001,United Kingdom,overview,2021-04-19,18
K02000001,United Kingdom,overview,2021-04-18,18
K02000001,United Kingdom,overview,2021-04-17,25
K02000001,United Kingdom,overview,2021-04-16,18
K02000001,United Kingdom,overview,2021-04-15,22
K02000001,United Kingdom,overview,2021-04-14,17
K02000001,United Kingdom,overview,2021-04-13,21
K02000001,United Kingdom,overview,2021-04-12,29
K02000001,United Kingdom,overview,2021-04-11,24
K02000001,United Kingdom,overview,2021-04-10,25
K02000001,United Kingdom,overview,2021-04-09,26
K02000001,United Kingdom,overview,2021-04-08,36
K02000001,United Kingdom,overview,2021-04-07,28
K02000001,United Kingdom,overview,2021-04-06,28
K02000001,United Kingdom,overview,2021-04-05,18
K02000001,United Kingdom,overview,2021-04-04,27
K02000001,United Kingdom,overview,2021-04-03,31
K02000001,United Kingdom,overview,2021-04-02,31
K02000001,United Kingdom,overview,2021-04-01,32
K02000001,United Kingdom,overview,2021-03-31,39
K02000001,United Kingdom,overview,2021-03-30,43
K02000001,United Kingdom,overview,2021-03-29,36
K02000001,United Kingdom,overview,2021-03-28,34
K02000001,United Kingdom,overview,2021-03-27,39
K02000001,United Kingdom,overview,2021-03-26,48
K02000001,United Kingdom,overview,2021-03-25,46
K02000001,United Kingdom,overview,2021-03-24,41
K02000001,United Kingdom,overview,2021-03-23,52
K02000001,United Kingdom,overview,2021-03-22,67
K02000001,United Kingdom,overview,2021-03-21,81
K02000001,United Kingdom,overview,2021-03-20,64
K02000001,United Kingdom,overview,2021-03-19,70
K02000001,United Kingdom,overview,2021-03-18,58
K02000001,United Kingdom,overview,2021-03-17,80
K02000001,United Kingdom,overview,2021-03-16,83
K02000001,United Kingdom,overview,2021-03-15,95
K02000001,United Kingdom,overview,2021-03-14,98
K02000001,United Kingdom,overview,2021-03-13,107
K02000001,United Kingdom,overview,2021-03-12,92
K02000001,United Kingdom,overview,2021-03-11,124
K02000001,United Kingdom,overview,2021-03-10,118
K02000001,United Kingdom,overview,2021-03-09,137
K02000001,United Kingdom,overview,2021-03-08,144
K02000001,United Kingdom,overview,2021-03-07,133
K02000001,United Kingdom,overview,2021-03-06,152
K02000001,United Kingdom,overview,2021-03-05,169
K02000001,United Kingdom,overview,2021-03-04,154
K02000001,United Kingdom,overview,2021-03-03,147
K02000001,United Kingdom,overview,2021-03-02,184
K02000001,United Kingdom,overview,2021-03-01,224
K02000001,United Kingdom,overview,2021-02-28,212
K02000001,United Kingdom,overview,2021-02-27,230
K02000001,United Kingdom,overview,2021-02-26,228
K02000001,United Kingdom,overview,2021-02-25,260
K02000001,United Kingdom,overview,2021-02-24,275
K02000001,United Kingdom,overview,2021-02-23,289
K02000001,United Kingdom,overview,2021-02-22,282
K02000001,United Kingdom,overview,2021-02-21,326
K02000001,United Kingdom,overview,2021-02-20,353
K02000001,United Kingdom,overview,2021-02-19,382
K02000001,United Kingdom,overview,2021-02-18,418
K02000001,United Kingdom,overview,2021-02-17,431
K02000001,United Kingdom,overview,2021-02-16,447
K02000001,United Kingdom,overview,2021-02-15,518
K02000001,United Kingdom,overview,2021-02-14,496
K02000001,United Kingdom,overview,2021-02-13,491
K02000001,United Kingdom,overview,2021-02-12,534
K02000001,United Kingdom,overview,2021-02-11,576
K02000001,United Kingdom,overview,2021-02-10,609
K02000001,United Kingdom,overview,2021-02-09,611
K02000001,United Kingdom,overview,2021-02-08,679
K02000001,United Kingdom,overview,2021-02-07,637
K02000001,United Kingdom,overview,2021-02-06,702
K02000001,United Kingdom,overview,2021-02-05,753
K02000001,United Kingdom,overview,2021-02-04,719
K02000001,United Kingdom,overview,2021-02-03,858
K02000001,United Kingdom,overview,2021-02-02,853
K02000001,United Kingdom,overview,2021-02-01,896
K02000001,United Kingdom,overview,2021-01-31,895
K02000001,United Kingdom,overview,2021-01-30,913
K02000001,United Kingdom,overview,2021-01-29,1069
K02000001,United Kingdom,overview,2021-01-28,1110
K02000001,United Kingdom,overview,2021-01-27,1114
K02000001,United Kingdom,overview,2021-01-26,1065
K02000001,United Kingdom,overview,2021-01-25,1169
K02000001,United Kingdom,overview,2021-01-24,1159
K02000001,United Kingdom,overview,2021-01-23,1171
K02000001,United Kingdom,overview,2021-01-22,1245
K02000001,United Kingdom,overview,2021-01-21,1238
K02000001,United Kingdom,overview,2021-01-20,1299
K02000001,United Kingdom,overview,2021-01-19,1364
K02000001,United Kingdom,overview,2021-01-18,1298
K02000001,United Kingdom,overview,2021-01-17,1270
K02000001,United Kingdom,overview,2021-01-16,1311
